title,artists,featured_artists,release_date,genres,spotify_popularity,total_platforms,score_platform,A_total_appearances,Z_total_appearances,N_total_appearances,S_total_appearances,total_appearances,score_sustain,Z_best_rank,S_best_rank,N_best_rank,A_best_rank,score_rank,S_total_streams,Z_total_plays,score_historical,total_score,is-hit,hit_type
điều em không muốn,phùng khánh linh,,2025-10-18,"v-pop, vietnam indie",53,1,0,2,,,,2,0,,,,38,1,,,0,1,1,New Hit (Saved)
dù cho tận thế,erik,,2025-02-06,"v-pop, vinahouse, vietnam indie",60,1,0,,,9,,9,0,,,31,,1,,,0,1,1,New Hit (Saved)
đưa em về nhàa,grey d,chillies,2023-04-24,"v-pop, vietnam indie, vietnamese hip hop",61,1,0,11,,,,11,0,,,,29,1,,,0,1,1,New Hit (Saved)
nếu những tiếc nuối,vũ.,,2024-09-27,"v-pop, vietnam indie, vietnamese lo-fi",59,1,0,11,,,,11,0,,,,31,1,,,0,1,1,New Hit (Saved)
mảnh tình sai đôi,thành đạt,,2025-10-08,"vinahouse, v-pop",34,1,0,,17,,,17,0,25,,,,1,,699000,0,1,0,Non-Hit
khóa ly biệt,the masked singer,voi bản đôn,2023-11-05,v-pop,51,1,0,,,9,,9,0,,,39,,1,,,0,1,1,New Hit (Saved)
kịch bản,táo,hoàng yến chibi,2025-10-23,"vietnamese hip hop, vietnamese lo-fi, vietnam indie, v-pop",58,1,0,,,,1,1,0,,38,,,1,205205,,0,1,1,New Hit (Saved)
3 bích,pháp kiều,tlinh,2025-10-15,"v-pop, vietnamese hip hop",59,1,0,,,5,,5,0,,,35,,1,,,0,1,1,New Hit (Saved)
tâm sự với đêm một mình,phùng khánh linh,,2025-10-18,"v-pop, vietnam indie",54,1,0,8,,,,8,0,,,,28,1,,,0,1,1,New Hit (Saved)
"(từng là) boyfriend, girlfriend",min,,2025-10-22,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",51,1,0,7,,,,7,0,,,,22,1,,,0,1,1,New Hit (Saved)
đại khải hoàn,the flob,chin,2025-11-06,"vietnam indie, v-pop",39,1,0,,1,,,1,0,36,,,,1,,,0,1,0,Non-Hit
tâm trí lang thang,ánh sáng aza,negav,2025-05-15,v-pop,64,1,0,,,,5,5,0,,40,,,1,7682082,,0,1,1,New Hit (Saved)
rơi tự do,em xinh say hi,lyhan,2025-08-18,v-pop,58,1,0,,1,,,1,0,39,,,,1,,,0,1,1,New Hit (Saved)
tình yêu bất diệt,hồ việt trung,saka trương tuyền,2025-04-03,"vietnamese bolero, v-pop, vinahouse, vietnamese lo-fi, bolero",30,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
tình nhân ơi,orange,binz,2019-01-07,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",46,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
ước anh nhiều nỗi buồn,charmy pham,,2025-11-11,"v-pop, vinahouse",23,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
ướt lòng,văn mai hương,,2025-07-29,"v-pop, vietnamese hip hop, vinahouse, vietnam indie",46,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
thương,bích phương,,2025-10-23,"v-pop, vietnamese hip hop, vinahouse, vietnam indie",52,1,0,,1,,,1,0,48,,,,0,,323000,0,0,1,Catalog Hit (Saved)
thời thế thế thời,nguyễn vĩ,,2025-02-17,"vinahouse, vietnamese lo-fi, v-pop",29,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
thiêu thân,anh trai say hi,"khoi vu, b ray, ryn lee, phạm đình thái ngân, bùi duy ngọc",2025-09-29,"v-pop, vietnamese hip hop",57,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
từng là,vũ cát tường,,2024-03-01,"v-pop, vietnam indie",61,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
trạm dừng chân,jack - j97,,2025-06-05,"v-pop, vinahouse",52,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
tình yêu chậm trễ,monstar,,2021-08-01,"v-pop, vietnam indie",62,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
bắc thang lên hỏi ông trời,em xinh say hi,"bích phương, juky san, lamoon, mỹ mỹ, quỳnh anh shyn",2025-08-04,v-pop,56,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
bạn đời,karik,gducky,2023-10-04,"v-pop, vietnamese hip hop, vietnam indie",58,1,0,,,9,,9,0,,,45,,0,,,0,0,1,Catalog Hit (Saved)
bao tiền một mớ bình yên?,14 casper,bon nghiêm,2023-03-03,"v-pop, vietnamese lo-fi, vietnam indie",59,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
bông hoa đẹp nhất,quân a.p,,2020-09-07,"v-pop, vietnamese lo-fi",60,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
buồn thật đấy,sofia,nguyễn thương,2025-09-29,"vietnamese hip hop, v-pop, vietnam indie",26,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
Chắc Ai Đó Sẽ Về,Sơn Tùng M-TP,,2017-04-01,"v-pop, vinahouse, vietnamese hip hop",60,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
chăm hoa,mono,,2024-10-22,"v-pop, vietnamese hip hop, vinahouse",61,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
chẳng nợ ai ngoài em,lê gia bảo,,2025-09-23,"vinahouse, v-pop, vietnamese lo-fi, vietnam indie",36,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
thấu tình,trung hiếu,,2025-10-04,none,24,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
the playah (special performance),soobin,,2021-05-14,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",51,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
thích quá rùi nà,tlinh,trung trần,2023-07-14,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",62,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
anh đã quen với cô đơn,soobin,,2017-03-14,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",61,2,0,8,,,1,9,0,,47,,43,0,8931596,,0,0,1,Catalog Hit (Saved)
anh thua anh ta,gia huy singer,,2025-11-06,"vinahouse, v-pop",20,1,0,,3,,,3,0,41,,,,0,,124000,0,0,0,Non-Hit
anh muốn nhìn thấy em,the wind,dangrangto,2023-07-27,"vietnamese hip hop, v-pop",61,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
Bắc Bling (Bắc Ninh),Hòa Minzy,"Xuân Hinh, Tuấn Cry, Masew",2025-03-01,"v-pop, vinahouse",50,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
anh lại say rồi,phan duy anh,t.a.p entertainment (producer t.a),2025-09-20,"vinahouse, v-pop, vietnamese bolero",23,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
hư không,kha,,2023-12-14,"v-pop, vietnamese lo-fi, vietnam indie, vietnamese hip hop",61,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
hoa,chung thanh duy,,2025-06-26,"vinahouse, v-pop, vietnamese hip hop, vietnamese lo-fi",32,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
hẹn gặp em dưới ánh trăng,manbo,"hieuthuhai, hurrykng",2020-09-25,"vietnamese hip hop, v-pop, vietnam indie",63,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
hãy nói anh sai rồi,phùng khánh linh,,2025-10-18,"v-pop, vietnam indie",53,1,0,1,,,,1,0,,,,50,0,,,0,0,1,Catalog Hit (Saved)
hải trình tan vỡ,trungg i.u,phạm anh duy,2025-09-15,"v-pop, vinahouse, vietnam indie",50,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
HÀO QUANG,ANH TRAI SAY HI,"RHYDER, Dương Domic, Pháp Kiều",2024-08-06,"v-pop, vietnamese hip hop",61,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
grief is the price you pay for love,phùng khánh linh,,2025-10-18,"v-pop, vietnam indie",52,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
hai thế giới,hoàng thống,trang hàn,2025-10-16,"vietnam indie, v-pop",18,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
ghé qua,pc,"dick, tofutns",2018-03-17,"vietnamese hip hop, vietnamese lo-fi, v-pop, vietnam indie",62,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
Gác Lại Âu Lo,Da LAB,Miu Lê,2020-07-25,"v-pop, vietnamese hip hop, vietnam indie, vietnamese lo-fi, vinahouse",56,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
giữ anh cho ngày hôm qua,hoàng dũng,"rhymastic, lelarec",2025-07-09,"v-pop, vietnam indie, vietnamese lo-fi, vietnamese hip hop",61,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
giá mà anh,captain boy,,2025-10-23,"v-pop, vietnamese hip hop",58,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
fragile (intro),min,,2025-10-22,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",49,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
ex's hate me pt.2,amee,,2020-06-20,"v-pop, vietnamese hip hop, vietnam indie",61,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
feel at home,b ray,,2025-07-08,"vietnamese hip hop, v-pop, vinahouse, vietnam indie",61,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
forget me now,fishy,trí dũng,2021-04-11,"v-pop, vietnam indie, vietnamese lo-fi, vietnamese hip hop",59,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
trọn vẹn chính mình,hương giang,nguyễn văn chung,2025-11-07,"v-pop, vietnamese bolero",23,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
tưởng rằng sau cơn mưa,lê gia bảo,bmz,2025-06-25,"vinahouse, v-pop, vietnamese lo-fi, vietnam indie",25,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
từng quen,wren evans,itsnk,2023-12-17,"v-pop, vietnam indie, vietnamese hip hop, vinahouse",56,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
vet mua,vũ cát tường,,2014-01-01,"v-pop, vietnam indie",63,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
vai lan don dua,soobin,,2017-01-27,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",60,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
vai chính tội nghiệp,an vũ,,2025-09-26,"v-pop, vinahouse, vietnamese lo-fi",15,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
mùa mưa ấy,vũ.,,2024-09-27,"v-pop, vietnam indie, vietnamese lo-fi",57,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
một mình ở đây,bùi lan hương,,2025-06-20,"v-pop, vietnam indie",32,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
mê cung 79 (metal rock),phương thanh,,2025-10-17,"v-pop, vietnamese bolero",7,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
mến tay mến chân,phạm quỳnh anh,thanh duy,2025-11-05,v-pop,24,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
moiem,dangrangto,donal,2024-11-06,"vietnamese hip hop, v-pop",62,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
missing you,phương ly,,2020-08-18,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",54,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
một mình chẳng sao,ngân ngân,,2025-10-31,"vinahouse, v-pop, vietnamese bolero",11,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
Khép Lại,Linh Hương Luz,,2025-08-22,"vinahouse, v-pop, vietnamese lo-fi",14,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
khi em lớn,orange,hoàng dũng,2021-04-20,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",59,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
kẻ say tình,quốc thiên,,2025-07-30,"v-pop, vietnamese bolero",40,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
Ngày Đầu Tiên,Đức Phúc,,2022-02-11,"v-pop, vinahouse, vietnam indie",53,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
ngày bình thường quên người mình thương,phát huy t4,,2025-09-11,"vinahouse, v-pop, vietnamese lo-fi",35,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
ngã về không,đặng thiên chí,,2025-05-09,"vinahouse, vietnamese lo-fi",30,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
nếu lúc đó,tlinh,2pillz,2023-08-16,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",63,1,0,4,,,,4,0,,,,43,0,,,0,0,1,Catalog Hit (Saved)
nàng thơ,hoàng dũng,,2020-12-16,"v-pop, vietnam indie, vietnamese lo-fi, vietnamese hip hop",56,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
nếu biết đó là lần cuối,đức trường,bmz,2022-08-19,v-pop,60,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
nằm bên anh,minh đinh,hà an huy,2025-05-16,"vietnam indie, v-pop, vietnamese hip hop",57,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
muộn rồi mà sao còn,sơn tùng m-tp,,2021-04-29,"v-pop, vinahouse, vietnamese hip hop",62,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
mộng tình si,đan trường,"hòa minzy, lê thành trung",2025-11-08,none,0,1,0,,1,,,1,0,43,,,,0,,29000,0,0,0,Non-Hit
đợi,52hz,"wean, rio",2024-01-31,"v-pop, vietnam indie, vietnamese hip hop",62,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
đoạn kết mới,hoàng dũng,,2022-08-24,"v-pop, vietnam indie, vietnamese lo-fi, vietnamese hip hop",55,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
đến đây bên anh,cloud 5,dangrangto,2023-09-28,v-pop,61,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
dự báo thời tiết hôm nay mưa,grey d,,2022-11-22,"v-pop, vietnam indie, vietnamese hip hop",62,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
độc nhất vô nhị,anh trai say hi,"karik, vũ cát tường, gill, tez",2025-09-22,"v-pop, vietnamese hip hop",57,1,0,,,1,,1,0,,,49,,0,,,0,0,1,Catalog Hit (Saved)
để tôi ôm em bằng giai điệu này,Kai Đinh,"GREY D, MIN",2022-12-22,"v-pop, vietnamese lo-fi, vietnam indie",56,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
đánh đổi,obito,"shiki, rpt mck",2023-10-10,"v-pop, vietnamese hip hop, vietnam indie",62,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
duyên nợ còn đâu,phạm vũ luân,,2025-10-30,none,1,1,0,,1,,,1,0,44,,,,0,,82000,0,0,0,Non-Hit
đường tôi chở em về,buitruonglinh,,2020-07-03,"v-pop, vietnamese lo-fi, vietnam indie, vinahouse",63,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
dù cho mai về sau,buitruonglinh,,2020-11-17,"v-pop, vietnamese lo-fi, vietnam indie, vinahouse",62,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
EM CHỈ LÀ,EM XINH SAY HI,"Bích Phương, Muộii, LyHan, Hoàng Duyên",2025-06-30,v-pop,58,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
em cưới rồi à,thanh hưng,,2025-02-25,"v-pop, vinahouse",47,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
em đã chờ anh bao lâu,anh trai say hi,"phúc du, ogenus, bùi duy ngọc, rio, otis, 52hz",2025-11-03,"v-pop, vietnamese hip hop",45,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
em chỉ sợ ngày mai,mochiii,,2025-10-13,"vinahouse, v-pop",29,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
ilysmbihtlyg (interlude),min,,2025-10-22,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",49,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
khóc blóck,phùng khánh linh,,2025-10-18,"v-pop, vietnam indie",51,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
lạ lùng,vũ.,,2016-12-24,"v-pop, vietnam indie, vietnamese lo-fi",64,1,0,2,,,,2,0,,,,49,0,,,0,0,1,Catalog Hit (Saved)
lo người ướt áo,nguyễn thạc bảo ngọc,,2025-11-11,"vinahouse, v-pop",0,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
lễ đường,kai đinh,,2025-03-09,"v-pop, vietnamese lo-fi, vietnam indie",62,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
love my friend,shayda,,2025-10-10,"v-pop, vietnamese hip hop",59,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
mảnh tình sai đôi,yến nhi,,2025-10-02,"v-pop, vinahouse",29,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
Máy Bay Giấy,(S)TRONG,,2025-09-24,"v-pop, vietnam indie",37,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
kệ nhắm mắt yêu luôn,hana cẩm tiên,tuệ ny,2025-08-05,"vinahouse, v-pop, vietnamese bolero, vietnamese lo-fi",32,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
nhiều chuyện,the flob,,2025-10-24,"vietnam indie, v-pop",38,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
nhà tôi có treo một lá cờ,dtap,hà anh tuấn,2025-08-19,v-pop,52,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
Người Tốt Nhất Cho Em,14 Casper,Bon Nghiêm,2025-11-13,"v-pop, vietnamese lo-fi, vietnam indie",0,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
người bình thường,vũ cát tường,,2023-12-04,"v-pop, vietnam indie",61,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
ngây ther,kidsai,"vstra, whenitsasunniday",2025-10-30,"v-pop, vietnamese hip hop, vietnam indie",54,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
nghe như tình yêu,hieuthuhai,,2021-07-09,"v-pop, vietnamese hip hop, vietnamese lo-fi, vietnam indie, vinahouse",61,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
em nhắc anh,nana liu,htm,2025-09-15,v-pop,28,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
ngày mai em đi,lê hiếu,"soobin, touliver",2017-08-02,"v-pop, vietnam indie, vietnamese bolero, vietnamese hip hop, vinahouse",59,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
em còn nhớ anh không - remastered,hoàng tôn,koo,2021-04-26,"v-pop, vietnamese hip hop, vinahouse, vietnam indie",60,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
nước mắt cá sấu,hieuthuhai,,2025-04-01,"v-pop, vietnamese hip hop, vietnamese lo-fi, vietnam indie, vinahouse",63,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
peace n' love,low g,mỹ anh,2025-10-21,"vietnamese hip hop, v-pop, vietnam indie",51,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
ôm lấy trái tim,kairon,,2025-05-23,v-pop,45,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
nỗi nhớ không tên,will,myra trần,2025-10-15,"v-pop, vietnam indie, vietnamese lo-fi",35,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
nụ hôn đầu,đậu tất đạt,,2025-10-30,"v-pop, vietnamese hip hop, vietnam indie",11,1,0,,1,,,1,0,49,,,,0,,,0,0,0,Non-Hit
nửa quân bài,trịnh đình quang,,2025-11-05,"vinahouse, v-pop",6,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
nhói lòng thuyền hoa (rock version),tlong,lkt media,2025-10-28,"vinahouse, v-pop, vietnamese lo-fi",4,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
chìm sâu,rpt mck,trung trần,2023-03-02,"vietnamese hip hop, v-pop, vietnam indie",59,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
Chờ Anh Nhé,Hoàng Dũng,Hoàng Rob,2019-03-06,"v-pop, vietnam indie, vietnamese lo-fi, vietnamese hip hop",60,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
cho tôi lang thang,ngọt,đen,2018-03-27,"vietnam indie, v-pop, vietnamese lo-fi, vietnamese hip hop",60,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
chờ bao lâu,út nhị mino,hào jk,2025-05-16,"vinahouse, vietnamese bolero, v-pop",33,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
chúng ta của hiện tại,sơn tùng m-tp,,2020-12-20,"v-pop, vinahouse, vietnamese hip hop",63,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
có còn yêu em,nguyễn kiều oanh,,2025-08-16,v-pop,44,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
cơ hội cuối,an vũ,,2025-04-25,"v-pop, vinahouse, vietnamese lo-fi",52,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
chúc phúc,pialinh,,2025-10-15,"v-pop, vietnam indie",36,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
cơn mưa cuối,justatee,binz,2016-11-03,"v-pop, vietnamese hip hop, vietnam indie",58,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
cứ đổ tại cơn mưa (solo & piano),em xinh say hi,orange,2025-09-18,v-pop,41,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
cưa em bốn mùa,nb3 hoài bảo,ct,2025-10-27,"vinahouse, vietnamese lo-fi, v-pop, lo-fi",32,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
past won't leave my bed,joji,,2025-11-07,none,76,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
chỉ anh làm em khóc,đàm vĩnh hưng,trần mạnh cường,2025-10-08,"vietnamese bolero, bolero, v-pop, vinahouse",29,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
chí phèo,đinh tiến đạt,monocycle,2025-10-15,"v-pop, vietnamese hip hop, vietnam indie",18,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
chill guys ngon zai,anh trai say hi,"bigdaddy, ogenus, b ray, phúc du",2025-09-22,"v-pop, vietnamese hip hop",55,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
nhiều hơn,low g,,2025-10-21,"vietnamese hip hop, v-pop, vietnam indie",59,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
PRE-ECHO,Lohan,"A1J, Diiton",2025-11-11,v-pop,15,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
pin dự phòng,dương domic,lou hoàng,2024-11-22,"v-pop, vietnamese hip hop",57,1,0,2,,,,2,0,,,,43,0,,,0,0,1,Catalog Hit (Saved)
đã lỡ yêu em nhiều,justatee,,2022-07-11,"v-pop, vietnamese hip hop, vietnam indie",62,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
cục vàng của anh,nana liu,,2025-08-07,v-pop,29,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
cứ khóc hết đi em,cao thái sơn,,2025-07-08,"v-pop, vinahouse, vietnamese bolero",18,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
sau cơn suy,rhyder,,2025-09-18,"v-pop, vietnamese hip hop",62,1,0,,,7,,7,0,,,41,,0,,,0,0,1,Catalog Hit (Saved)
sân ga đời anh,dương masterd,,2025-10-18,none,0,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
quên rồi khổ đau năm ấy,vicky nhung,đông thiên đức,2025-04-17,"vinahouse, v-pop, vietnamese lo-fi",32,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
Sẽ Quên Em Nhanh Thôi,SOOBIN,,2025-07-24,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",55,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
sau ngần ấy năm,hà nhi,,2025-05-21,"v-pop, vinahouse, vietnam indie, vietnamese lo-fi",50,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
tạm bợ,miina,"zio.b, rin9, dreamer",2025-05-30,v-pop,27,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
simp gái 808,low g,,2023-10-18,"vietnamese hip hop, v-pop, vietnam indie",61,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
text 07,w/n,267,2025-07-30,"v-pop, vietnamese lo-fi, vietnamese hip hop, vietnam indie",57,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
thả anh ra,quang hùng masterd,hino,2025-08-16,"v-pop, vinahouse, vietnamese hip hop",62,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
sad nhân,(s)trong,,2025-09-24,"v-pop, vietnam indie",45,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
sài gòn hôm nay mưa,jsol,hoàng duyên,2021-05-29,"v-pop, vietnamese hip hop, vietnamese lo-fi",62,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
thanh xuân,da lab,,2018-08-24,"v-pop, vietnamese hip hop, vietnam indie, vietnamese lo-fi, vinahouse",61,1,0,8,,,,8,0,,,,42,0,,,0,0,1,Catalog Hit (Saved)
tham phú phụ bần,nguyễn vĩ,,2024-12-25,"vinahouse, vietnamese lo-fi, v-pop",41,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
viết tiếp câu chuyện hòa bình,nguyễn văn chung,tùng dương,2023-12-21,"v-pop, vinahouse, vietnamese bolero",48,0,0,,,,,0,0,,,,,0,,,0,0,0,Non-Hit
thanh xuân là anh,2t,"n.diên, shenlongz",2019-02-23,"vietnamese lo-fi, v-pop, vietnamese hip hop, vietnam indie",51,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
vỗ tay,em xinh say hi,phương ly,2025-08-18,v-pop,55,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
an thần,low g,thắng,2021-10-21,"vietnamese hip hop, v-pop, vietnam indie",61,0,0,,,,,0,0,,,,,0,,,0,0,1,Catalog Hit (Saved)
vũ trụ song song,lyhan,,2025-11-11,v-pop,27,1,0,,1,,,1,0,47,,,,0,,,0,0,0,Non-Hit
