title,artists,featured_artists,album_type,spotify_popularity,spotify_release_date,spotify_genres,spotify_track_id,main_artist_id,is_hit,file_name,Audio_Error,Lyrics_Error
Gọi Tên Anh,Phan Duy Anh,,single,10.0,2025-03-28,"vinahouse, v-pop, vietnamese bolero",1ZrjDMR9bMNn5GdGfMuuBP,2ldAFJhpkWvdSsgDR4EkJE,0.0,gọi tên anh - phan duy anh.mp3,OK,OK
Gọi Tên Bốn Mùa,Lê Hiếu,,album,16.0,2020-11-18,"v-pop, vietnam indie, vietnamese bolero, vietnamese hip hop, vinahouse",1vvclw1oPxxNNBBHZN8h8c,4sOvsEM0ooH149joyEm7Wg,0.0,gọi tên bốn mùa - lê hiếu.mp3,OK,OK
Gọi Tên Em,MIN,,single,52.0,2021-01-25,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",2DGZ50nc8z5FNik1XRKoOk,0IdAjS2LRieBR3gzoazdAw,1.0,gọi tên em - min.mp3,OK,OK
Gọi Tên Em Trong Đêm,The Men,,album,44.0,2011-10-13,"v-pop, vinahouse, vietnamese bolero",384BwsSwoKpsAv56BM0eey,53LVvmM09CnWWAYz79HpCR,1.0,gọi tên em trong đêm - the men.mp3,OK,OK
Gọi Tên Em Đi,PAR SG,Trash Paul,single,33.0,2022-03-31,"vietnamese lo-fi, vietnamese hip hop, vietnam indie, v-pop",549AZaUWLio2c0EzlXEnw2,5yE1xvNIbuEB2kkopCuCVY,1.0,gọi tên em đi - par sg.mp3,OK,OK
Gọi Tên Mùa Xuân,Noo Phước Thịnh,,single,25.0,2019-01-21,"v-pop, vinahouse",5wCoEDWOx9PsZH5cjumNn2,3mibIJiduF0MVLLAvHZAxw,0.0,gọi tên mùa xuân - noo phước thịnh.mp3,OK,OK
Gọi tên một nỗi buồn,Lâm Bảo Ngọc,,single,32.0,2024-11-06,v-pop,1r8NlgGh9ee0ImTVg62M9G,3E0b68wCGYihuHBtlasfm9,0.0,gọi tên một nỗi buồn - lâm bảo ngọc.mp3,OK,OK
Gối Gấm,Phương Mỹ Chi,DTAP,album,41.0,2023-09-18,v-pop,211PBKJlAG1CxXUEjN5nqq,1BcjfrXV4Oe3fK0c8dnxFF,0.0,gối gấm - phương mỹ chi.mp3,OK,OK
Gục ngã (khi e iu ng khác),Kha,,single,16.0,2023-12-14,"v-pop, vietnamese lo-fi, vietnam indie, vietnamese hip hop",1LKFKNrzFcvjR8ceA8GaS3,6tWaQSIL7reD85PKStNk28,0.0,gục ngã (khi e iu ng khác) - kha.mp3,OK,OK
GỪNG CÀNG GIÀ CÀNG CAY (feat. Queen B),RAP VIỆT,Queen B,single,18.0,2024-11-26,"vietnamese hip hop, v-pop",5l8lgVt98VgrLLSYjxCop7,1cPpd989kghzlZqfpP4KwL,0.0,gừng càng già càng cay (feat. queen b) - rap việt.mp3,OK,MISSING
GỬI BA,Ronboogz,,single,28.0,2022-12-17,"v-pop, vietnamese hip hop, vietnam indie",5f5xcs8BO4qESf6ers40KQ,0dBcEvEklr1jx4uZuhFX5e,0.0,gửi ba - ronboogz.mp3,OK,OK
GỬI CHỒNG TƯƠNG LAI,Trang Pháp,JSOL,single,32.0,2024-10-09,"v-pop, vietnamese hip hop, vietnamese lo-fi",23nO6rtkvQv307NH8MzP4l,3Ovt66opVihLuIvPhlceI6,1.0,gửi chồng tương lai - trang pháp.mp3,OK,OK
Gửi,Reddy,,single,32.0,2021-03-14,"vietnamese lo-fi, v-pop, vietnam indie, lo-fi",07Lis7M8MR6h0xOFPNThDs,6QfCxUkMNgOYA4dswW2ZWN,1.0,gửi - reddy.mp3,OK,OK
Gửi Anh Và Cô Ấy,Phương Phương Thảo,,single,15.0,2026-02-08,"vietnamese bolero, vietnamese lo-fi, bolero, vinahouse, v-pop",1FD5Sy28cF9olRXjwC9YbB,5KGgAxYWMoCJduQhLpIH4v,0.0,gửi anh và cô ấy - phương phương thảo.mp3,OK,OK
Gửi Anh Xa Nhớ,Bích Phương,,single,47.0,2016-09-08,"v-pop, vietnamese hip hop, vinahouse, vietnam indie",5BMTHljcErdVq7FNB7WHOu,5fa13NJjmn2uQ3dxZDi2Ge,1.0,gửi anh xa nhớ - bích phương.mp3,OK,OK
Gửi Lại Hôm Qua,Thùy Chi,Duc Tri,album,6.0,2024-03-19,"v-pop, vietnam indie, vinahouse, vietnamese hip hop",0ejZO603onjb53FYMnnanX,0l3YAI1xmZKCZBzduST5ft,0.0,gửi lại hôm qua - thùy chi.mp3,OK,OK
Gửi Ngàn Lời Yêu,Đức Phúc,,single,18.0,2021-09-23,"v-pop, vietnam indie, vinahouse",2lZdrulVXRGcBhnltam4kC,5FWPIKz9czXWaiNtw45KQs,0.0,gửi ngàn lời yêu - đức phúc.mp3,OK,OK
Gửi Người Yêu Cũ,Hồ Ngọc Hà,,album,21.0,2016-09-26,"v-pop, vinahouse",6BA2hlP6dZ50s7V4Vf1XUo,24Wn81dwdDeTCuB1BWGoVJ,0.0,gửi người yêu cũ - hồ ngọc hà.mp3,OK,OK
Gửi Tình Yêu Nhỏ,Khải Đăng,,single,18.0,2024-08-16,"v-pop, vinahouse, vietnamese bolero, vietnamese lo-fi",37gtUYdUurmR9qx8IDypeF,5lRuI7jZMno275jJphvRjg,0.0,gửi tình yêu nhỏ - khải đăng.mp3,OK,OK
Gửi Về Anh,Phương Phương Thảo,,album,11.0,2025-01-23,"vietnamese bolero, vietnamese lo-fi, bolero, vinahouse, v-pop",2FpUiDtRQWWQEyLQMR9m7b,5KGgAxYWMoCJduQhLpIH4v,0.0,gửi về anh - phương phương thảo.mp3,OK,OK
Gửi em,Vũ Thanh Vân,,single,28.0,2020-04-09,"vietnam indie, v-pop",0TRq0GS9HUciq1FxgLIi3R,5ptgjFDE2abY6Xwo4ytufN,0.0,gửi em - vũ thanh vân.mp3,OK,OK
H In My Arms,Kha,,single,42.0,2021-01-22,"v-pop, vietnamese lo-fi, vietnam indie, vietnamese hip hop",2SNuMe4QFq4TI2s6l1tR7T,6tWaQSIL7reD85PKStNk28,1.0,h in my arms - kha.mp3,OK,OK
"HAI MƯƠI (feat. Lâm Bảo Ngọc, Dương Edward, Phan Duy Anh & Phạm Anh Duy)",OUR SONG VIETNAM,"Lâm Bảo Ngọc, Dương Edward, Phan Duy Anh, Phạm Anh Duy",single,18.0,2024-10-01,v-pop,6xrAMoU2hudykoA9PV33bT,6HfU0edqFmEwV87kq0D9TJ,0.0,"hai mươi (feat. lâm bảo ngọc, dương edward, phan duy anh & phạm anh duy) - our song vietnam.mp3",OK,OK
HARAJUKU,kidsai,,single,23.0,2022-09-09,"v-pop, vietnamese hip hop, vietnam indie",1G3au0ZfmR0AwpHHXJFt41,6kkA6laUMR0hzML9YY98CQ,0.0,harajuku - kidsai.mp3,OK,OK
HER,Mỹ Mỹ,,album,35.0,2025-10-16,v-pop,5xDzB1RyS5ZihKraJkUKyi,21trGUfOb8qkRjI4EyF1qm,0.0,her - mỹ mỹ.mp3,OK,OK
HERMOSA,"ANH TRAI ""SAY HI""","Sơn.K, buitruonglinh, Tez, Mason Nguyen, CONGB",single,55.0,2025-09-29,"v-pop, vietnamese hip hop",7tDEWTNvUrVDCWdOrJWATZ,4wZ6awunqaaVLl5j0WpDFu,1.0,hermosa - anh trai say hi.mp3,OK,OK
HIGH NIGHT,KayC,L'espace,single,9.0,2025-10-13,"vietnamese hip hop, v-pop, vietnam indie",4sRDZnrbanpXBgPo76twDl,3EkXXkwTWhJpPDJR4ME3D8,0.0,high night - kayc.mp3,OK,OK
HIGH TOWN (feat. DANMY),RAP VIỆT,DANMY,album,17.0,2024-12-09,"vietnamese hip hop, v-pop",0YCqkrgh3fgJ6acfSlYMJN,1cPpd989kghzlZqfpP4KwL,0.0,high town (feat. danmy) - rap việt.mp3,OK,MISSING
HIỆN THỰC PHŨ PHÀNG,Phùng Khánh Linh,,album,56.0,2025-10-18,"v-pop, vietnam indie",28X9PA12ANiyb1qExK6AEG,23Gbd21nBxC1kCtcG2Cd0C,1.0,hiện thực phũ phàng - phùng khánh linh.mp3,OK,OK
HONGKONG1,Nguyễn Trọng Tài,"Don Raemo, Double X",single,58.0,2018-10-28,"vietnamese hip hop, v-pop, vietnam indie",6UFvSmKzCZ16fxsybf4PhE,2UCPMrvFm42t3w5duYfQHl,1.0,hongkong1 - nguyễn trọng tài.mp3,OK,OK
HONGKONG12 (feat. MC 12),Nguyễn Trọng Tài,MC 12,single,6.0,2019-10-22,"vietnamese hip hop, v-pop, vietnam indie",6u3lxYZK1rmFUuU0iVxLwl,2UCPMrvFm42t3w5duYfQHl,0.0,hongkong12 (feat. mc 12) - nguyễn trọng tài.mp3,OK,OK
HOODIE,Coldzy,,album,32.0,2024-06-03,"vietnamese hip hop, v-pop, vietnam indie",1fsag6oPedN5lIrjs71xYL,401ikVSob52311M6Fwnunt,0.0,hoodie - coldzy.mp3,OK,OK
HOP ON DA SHOW,tlinh,Low G,single,54.0,2024-09-18,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",0SLzsfxED15vyUccX4bCqo,3diftVOq7aEIebXKkC34oR,1.0,hop on da show - tlinh.mp3,OK,OK
HOPE,Tùng Dương,,single,13.0,2022-06-08,"v-pop, vinahouse",71B0o0T6VpFyzcMZlgYLBp,4rBvN6UImNzcY5abMKdAuw,0.0,hope - tùng dương.mp3,OK,OK
HOPELESS,Will,PiaLinh,album,29.0,2025-10-15,"v-pop, vietnamese lo-fi, vietnamese hip hop, vietnam indie",7rkRCuVcBhPTjvY370Swof,3HMWKU43x9GxkGWVP1KjQT,0.0,hopeless - will.mp3,OK,OK
HOT,Chị Đẹp Đạp Gió Rẽ Sóng,"Tóc Tiên, Ái Phương, Hạnh Sino, Thiều Bảo Trâm, Hino",album,30.0,2024-11-16,"v-pop, vietnam indie",7mGrmZGqLzhqcPmTYeEdTb,4DNLpoezq6CHCbbp0JmmHa,1.0,hot - chị đẹp đạp gió rẽ sóng.mp3,OK,OK
HOURGLASS,"EM XINH ""SAY HI""","LYHAN, Juky San, Châu Bùi, Saabirose",single,38.0,2025-08-25,v-pop,1nspJwzwAUju2DnlvI2oiv,1I5CkmtLVWLUygTT3cLr5X,0.0,hourglass - em xinh say hi.mp3,OK,OK
HOW TO LOVE YOU,Chị Đẹp Đạp Gió Rẽ Sóng,Tuimi,album,22.0,2024-10-26,"vietnamese hip hop, v-pop, vietnam indie",6tQnVzfmGH0Cm9okFBJ4Vp,4DNLpoezq6CHCbbp0JmmHa,0.0,how to love you - chị đẹp đạp gió rẽ sóng.mp3,OK,OK
HTV3,VCC Left Hand,,album,11.0,2023-11-25,"vietnamese hip hop, v-pop, vinahouse",6u13TjqDFb92N9CB4pbRV1,3QjJx8Yp2mXYoHtiPI7VMI,0.0,htv3 - vcc left hand.mp3,OK,OK
HUSTLANG ALL DAY (feat. Hustlang Robber),RAP VIỆT,Hustlang Robber,album,46.0,2024-12-09,"vietnamese hip hop, v-pop",7vKjOiBl4LiaQaPM3M0UwW,1cPpd989kghzlZqfpP4KwL,1.0,hustlang all day (feat. hustlang robber) - rap việt.mp3,OK,OK
HUYẾT LỆ SOI ĐÊM MỘNG,Trung Quân,GITA Centre,single,11.0,2025-12-17,"v-pop, vietnam indie",7uNxhK509rXKIK7ZR1QZ4u,5Cf9nBDNc99UFkq9Yqap7Q,0.0,huyết lệ soi đêm mộng - trung quân.mp3,OK,MISSING
"HY VỌNG (feat. Lower, Dablo & Vũ Phụng Tiên)",RAP VIỆT,"Lower, Dablo, Vũ Phụng Tiên",single,23.0,2024-11-04,"vietnamese hip hop, v-pop",2EzIdFiAlnwS8UOt1l1F2t,1cPpd989kghzlZqfpP4KwL,0.0,"hy vọng (feat. lower, dablo & vũ phụng tiên) - rap việt.mp3",OK,OK
Ha Noi Khoc Ho Em,Vũ Thanh Vân,,single,22.0,2018-02-08,"vietnam indie, v-pop",28tvIcP2FpzjyNhccRNChq,5ptgjFDE2abY6Xwo4ytufN,0.0,ha noi khoc ho em - vũ thanh vân.mp3,OK,OK
Ha Va Oai,Rocky CDE,"STRANGE H, TeuYungBoy",album,37.0,2024-01-06,"v-pop, vietnamese hip hop",7m3XEa7rP33gsjeYJYoRBl,2lnesmkx2eGDj0wTUv61Ch,1.0,ha va oai - rocky cde.mp3,OK,OK
Hai Bàn Tay,Jun Phạm,,single,18.0,2025-07-27,v-pop,5UBdi3sqIwpmCwYe7qmI5y,5bJcxnt5lkrDyKfPjtSBxP,0.0,hai bàn tay - jun phạm.mp3,OK,OK
Hai Chữ Tiền Tình / Cũng Bởi Chữ Tiền,Thanh Hưng,,single,13.0,2025-10-26,"v-pop, vinahouse",1EEyuXLh0bIA9dbI0KRqFu,14W31zJumZnGDgZuPXclTJ,0.0,hai chữ tiền tình _ cũng bởi chữ tiền - thanh hưng.mp3,OK,MISSING
Hai Hành Tinh,Đức Trường,BMZ,single,6.0,2023-04-25,v-pop,78XzRHZcX57hlhAr6RBxoR,4R2engiAed6QeIV63PDAz0,0.0,hai hành tinh - đức trường.mp3,OK,OK
Hai Mươi Hai,Forest Studio,Thu Minh,single,14.0,2022-12-14,"v-pop, vietnam indie",4ZE7ddsgJ5xwI4tyV1ljNX,1fTWz0OemWveF9AMkRPJKi,0.0,hai mươi hai - forest studio.mp3,OK,OK
Hai Người Hai Hướng,Hana Cẩm Tiên,,single,19.0,2025-11-19,"vinahouse, v-pop, vietnamese bolero",2wHjMoyuKcIthTbv78DlOF,1vHY0HztdnDYKIUB7bkVkb,0.0,hai người hai hướng - hana cẩm tiên.mp3,OK,OK
Hai Phút Hơn,Pháo,,single,45.0,2020-03-05,"v-pop, vinahouse, vietnamese hip hop",6h8ZafZJnbIpCaEHnzZYRF,4en2ObzSYlIYbCGknXjgG9,1.0,hai phút hơn - pháo.mp3,OK,OK
Hai Thằng Bịp,Mason Nguyen,"24k.Right, Hipz",single,58.0,2024-06-28,"vietnamese hip hop, v-pop",1cbLoF2FHZrdcAuH28eZ97,39UJlviUwzZGZrA8DiQy31,1.0,hai thằng bịp - mason nguyen.mp3,OK,OK
Hai Thế Giới,Will,,single,14.0,2020-01-01,"v-pop, vietnam indie",4PwG1T7yqOXYkaUL8RYeAd,3HMWKU43x9GxkGWVP1KjQT,0.0,hai thế giới - will.mp3,OK,OK
Hai Thế Giới,Wowy,,single,39.0,2014-01-01,"vietnamese hip hop, v-pop",5GIPOSEWACQ5vyzzjXRKbD,4iFNiWhODcMZdmpNkxsTFp,1.0,hai thế giới - wowy.mp3,OK,OK
Hai Thế Giới Khác Biệt,Thành Đạt,,single,14.0,2024-11-22,"vinahouse, v-pop",6Vn8Kq50MjCZ9AP0geBMrq,2ipMqlG0XTQbUbu7W0FnBm,0.0,hai thế giới khác biệt - thành đạt.mp3,OK,OK
Hai Triệu Năm,Đen,Biên,single,46.0,2019-06-22,"v-pop, vietnamese hip hop, vietnam indie, vietnamese lo-fi",6rhPfrew3JeBBVL4iVMOAt,1LEtM3AleYg1xabW6CRkpi,1.0,hai triệu năm - đen.mp3,OK,OK
Hai người xa,Madihu,"Vũ., Ngân Hà",single,15.0,2016-12-30,"v-pop, vietnam indie, vietnamese hip hop",7wVdlzTiJzSCozodzpxXF4,1OIYKbmhG0RxPXvVPNj3NN,0.0,hai người xa - madihu.mp3,OK,OK
Hai thế giới,Hoàng Thống,Trang Hàn,single,11.0,2025-10-16,"vietnam indie, v-pop",0fXxzf54BMzKQjFSYIpSH5,3fM2WF0qY1Ip9ffVvOzhjo,0.0,hai thế giới - hoàng thống.mp3,OK,OK
Hai Đường Thẳng Song Song,Vương Anh Tú,,single,6.0,2022-03-19,"vietnamese hip hop, vietnamese lo-fi, vietnam indie, v-pop",2OqwfkqjRyJ08wQ5dDrRm6,3OeYidiG0MAcGmiSwTHZf6,0.0,hai đường thẳng song song - vương anh tú.mp3,OK,OK
Hai Đứa Trẻ (feat. Suboi),Phương Mỹ Chi,"DTAP, Suboi",album,39.0,2023-09-18,v-pop,4zZ8Ulh3NTPoBLZjdVCm8e,1BcjfrXV4Oe3fK0c8dnxFF,0.0,"hai đứa trẻ (feat. suboi) - phương mỹ chi - dtap, suboi.mp3",OK,OK
Hai đứa nhóc,Ronboogz,,single,57.0,2023-01-09,"v-pop, vietnamese hip hop, vietnam indie",3AjXaNF3TPcdi5vTiQZxva,0dBcEvEklr1jx4uZuhFX5e,1.0,hai đứa nhóc - ronboogz.mp3,OK,OK
Hallelujah,Datmaniac,,album,21.0,2024-05-22,"vietnamese hip hop, vietnam indie, v-pop",60eeW2ugGaLS8PAm9Uklgw,56su1iNcOlGUPEtBoOoJ5D,0.0,hallelujah - datmaniac -.mp3,OK,OK
Happy Birthday,MAYonair,Táo,single,19.0,2023-02-25,"vietnamese hip hop, vietnamese lo-fi, vietnam indie, v-pop",3F3bBv2R3pwJf9Iw1Cb1D5,4cuCzi4VvHHwwowu56Ejm5,0.0,happy birthday - mayonair.mp3,OK,OK
Happy Birthday To You,AMEE,"Hoàng Dũng, Obito",single,31.0,2021-12-17,"v-pop, vietnam indie, vietnamese lo-fi, vietnamese hip hop",1XK0vd0S81wm61bqPv17Z3,6OzE2OdvV2tGAxSBsBuZ74,1.0,happy birthday to you - hoàng dũng.mp3,OK,OK
Happy For You (feat. Vũ.),Lukas Graham,Vũ.,single,38.0,2021-07-02,"v-pop, vietnam indie, vietnamese lo-fi",2XjbfQQZlPwOMTmJR2RLfC,25u4wHJWxCA9vO0CzxAbK7,1.0,happy for you (feat. vũ.) - lukas graham.mp3,OK,OK
Harder,Wxrdie,WOKEUP,single,31.0,2020-08-20,"vietnamese hip hop, v-pop",7wSeKfe9KVLeVKF6J84rOq,1Jmkhzve9TuXHUUWGmpANw,1.0,harder - wxrdie.mp3,OK,OK
Havana,(S)TRONG,Pháo,single,16.0,2023-10-25,"v-pop, vietnam indie",2cplq1I56ShUGXtv26xI4T,7571XEqHqL61NDiLtWXhS5,0.0,havana - (s)trong.mp3,OK,OK
Hay Là Chia Tay,Khắc Việt,,album,12.0,2018-01-01,"v-pop, vinahouse, vietnamese bolero",7bL9LogovFliGmHI4o5UTD,7luDDYsfkSivBsoTz3BKMq,0.0,hay là chia tay - khắc việt.mp3,OK,OK
Hay Là Em Giả Vờ Thương Anh Đi,Khiem,,single,11.0,2023-09-10,"v-pop, vietnam indie",1e9jNB2VJyRAgBEU4fpIDC,2xyEAgqFAAy5yqRZ7mHd9c,0.0,hay là em giả vờ thương anh đi - khiem.mp3,OK,OK
Hay Là Mình Chia Tay,Bảo Anh,,album,5.0,2017-05-22,"v-pop, vietnam indie, vietnamese bolero",3GuoiROwGJ8RKrvhASypqf,4fCHhderLwLacsIOIKgu3J,0.0,hay là mình chia tay - bảo anh.mp3,OK,OK
Hay Là Mình Chia Tay,Việt Anh,,single,24.0,2025-12-06,"vinahouse, v-pop",34VmPslP6g9HLooOlWXeu2,0cf0oidLIQoNhGTp0SHzhU,0.0,hay là mình chia tay - việt anh.mp3,OK,OK
Hay Là Thôi Anh Nhé,Hồ Ngọc Hà,,album,7.0,2014-05-14,"v-pop, vinahouse",1J1XwcK9mhJHePmRQRSyqS,24Wn81dwdDeTCuB1BWGoVJ,0.0,hay là thôi anh nhé - hồ ngọc hà.mp3,OK,OK
Hay Là Trăng Nói,DatKaa,,single,31.0,2022-09-12,"v-pop, vinahouse, vietnamese lo-fi",4kXWF8M4uXzDG1e4BMxq1h,6mMxOJfr3bN1QPUiForaWf,1.0,hay là trăng nói - datkaa.mp3,OK,OK
Hear Me Say,prettyXIX,Minsicko,single,14.0,2023-09-28,"vietnamese hip hop, v-pop, vietnam indie",0eqNNdccn16fhyYtv1IZOu,28XrDF0G35BpyybcGaQTzU,0.0,hear me say - prettyxix.mp3,OK,OK
Hell No,Saabirose,,single,18.0,2024-07-04,"v-pop, vietnamese hip hop, vinahouse",4bZXtXtvj4CPvuorekvkBg,3IMLi0C3EgNuwDiksTxiS5,0.0,hell no - saabirose -.mp3,OK,OK
Her,Shayda,,album,16.0,2025-02-28,"v-pop, vietnamese hip hop",1vEPBRpmKkbTYhCOJPbYag,4WF9GdetrQiLeWDWAISRGa,0.0,her - shayda.mp3,OK,OK
Her Summer,Vũ.,,single,47.0,2019-07-18,"v-pop, vietnam indie, vietnamese lo-fi",4XkeDeEoSxS7V1B4cjDshU,57g2v7gJZepcwsuwssIfZs,1.0,her summer - vũ..mp3,OK,OK
Hey Girl,MONSTAR,,single,13.0,2018,"v-pop, vietnam indie",6FUZF22SO4x53toOlNrqBq,2CLdtsyD2NsTOBBOVr7fi8,0.0,hey girl - monstar.mp3,OK,OK
Heyyy,SOOBIN,,album,39.0,2024-06-25,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",2fWYqr8yaQitqsjHMEstVh,6CGGvCBHWqQ4HXtn5aLhbh,0.0,heyyy - soobin.mp3,OK,OK
Heyyy - OK,SOOBIN,Binz,album,29.0,2025-08-25,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",74rQ6IVl9s4os1OC5ZY02H,6CGGvCBHWqQ4HXtn5aLhbh,0.0,heyyy - ok - soobin.mp3,OK,OK
Highlikemoon,RPT JasonDilla,Wxrdie,album,32.0,2023-08-29,"vietnamese hip hop, v-pop",24PRvA9TNNV4fgxlzQojB4,2UHHfc0InrWSmUkiuss6f4,1.0,highlikemoon - rpt jasondilla.mp3,OK,OK
His Story,Hustlang Robber,,single,42.0,2022-01-15,"vietnamese hip hop, v-pop",4TEZ8NGvK78ihfJzHSJDSB,3JWIaDWHJq11w1xPqJStEv,1.0,his story - hustlang robber.mp3,OK,OK
Hit Me Up (feat. Nomovodka),Binz,Nomovodka,single,48.0,2023-10-19,"vietnamese hip hop, v-pop, vietnam indie, vinahouse",4acXEYw7ayyJnm9GXDrqiL,2nSO7JYDbJrYbJmP39qUzj,1.0,hit me up (feat. nomovodka) - binz.mp3,OK,OK
Hiên Nhà,Linh Cáo,,single,27.0,2016-06-26,"vietnamese lo-fi, vietnam indie, v-pop, vietnamese hip hop",1t365lc2lD0rp8Xf2DLcse,0vTUa2hbNHke3omoGxuKFm,0.0,hiên nhà - linh cáo.mp3,OK,OK
Hiếm Có Khó Tìm (feat. Han Sara),JSOL,Han Sara,single,28.0,2020-07-15,"v-pop, vietnamese hip hop, vietnamese lo-fi",2loqPK1rle8pXIUMSBbgK8,6EybZ5zwPNEtEngfrEMevN,0.0,hiếm có khó tìm (feat. han sara) - jsol.mp3,OK,OK
Hiện Tại Và Quá Khứ,The Men,,album,22.0,2011-10-13,"v-pop, vinahouse, vietnamese bolero",2jN7z5z8vM2LBTfI3IXlbI,53LVvmM09CnWWAYz79HpCR,0.0,hiện tại và quá khứ - the men.mp3,OK,OK
Hiện Đại,Khắc Việt,,single,21.0,2021-05-22,"v-pop, vinahouse, vietnamese bolero",0Mqv34MnsNjj8gwMtdYqAc,7luDDYsfkSivBsoTz3BKMq,0.0,hiện đại - khắc việt.mp3,OK,OK
Hmm..,Vũ Thanh Vân,itsnk,single,32.0,2021-10-28,"vietnam indie, v-pop",7jsJU5FzQVmiPcINDamT6s,5ptgjFDE2abY6Xwo4ytufN,1.0,hmm.. - vũ thanh vân.mp3,OK,OK
Hoa,Chung Thanh Duy,,single,32.0,2025-06-26,"vinahouse, v-pop, vietnamese hip hop, vietnamese lo-fi",5Dn0JXPDrBrYW3CXEaAnRl,2ZtffdcxTFHQhYa3HlNbTl,1.0,hoa - chung thanh duy.mp3,OK,OK
Hoa Anh Đào Trong Gió,Hoàng Yến Chibi,,single,11.0,2025-01-20,"v-pop, vietnamese hip hop, vietnam indie",6sAVUtfaDTs24EOsYisvYd,1Dd0DajYMxzu1Q6kuXLyJ3,0.0,hoa anh đào trong gió - hoàng yến chibi.mp3,OK,MISSING
Hoa Ban Nhỏ Bé,MIN,"Bùi Công Nam, VƯƠNG BÌNH, Kai Đinh",single,45.0,2026-02-02,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",6EiIKGDrrsFGRMZTLduU1k,0IdAjS2LRieBR3gzoazdAw,1.0,hoa ban nhỏ bé - min.mp3,OK,OK
Hoa Bất Tử,Thành Đạt,,single,36.0,2025-04-18,"vinahouse, v-pop",3lotckWqqycAqYCGan0zZe,2ipMqlG0XTQbUbu7W0FnBm,1.0,hoa bất tử - thành đạt.mp3,OK,OK
Hoa Bất Tử (Immortetle),Quang Hùng MasterD,,single,17.0,2020-09-14,"v-pop, vinahouse, vietnamese hip hop",5yDCru5BetPs785vV8ODR4,0slOzRzTQb1RBBVJbvRITP,0.0,hoa bất tử (immortetle) - quang hùng masterd.mp3,OK,OK
Hoa Bấy Bì,T.R.I,,single,15.0,2022-07-27,"v-pop, vietnamese lo-fi, vietnam indie, vietnamese hip hop",1JDAQRGExgNj3HrhUQZcnS,2rVYwIYNEsMxtt8j5yemHb,0.0,hoa bấy bì - t.r.i.mp3,OK,OK
Hoa Bằng Lăng,Bach Cong Khanh,Khải Đăng,single,15.0,2020-01-01,"v-pop, vinahouse, vietnamese bolero, vietnamese lo-fi",1vzGrXzRk7v43qsEFCgyDo,6YcWGOsleUSDSY8CQu6gPf,0.0,hoa bằng lăng - bach cong khanh.mp3,OK,OK
Hoa Bằng Lăng,Bảo Anh,,single,17.0,2021-07-15,"v-pop, vietnam indie",02fA8uMVTpFtcHO2y7MH5J,4fCHhderLwLacsIOIKgu3J,0.0,hoa bằng lăng - bảo anh.mp3,OK,OK
Hoa Bằng Lăng,Phương Phương Thảo,,album,7.0,2022-01-01,"vietnamese bolero, vietnamese lo-fi, bolero, vinahouse, v-pop",3wtAFLPgi6FsixMtMuw48k,5KGgAxYWMoCJduQhLpIH4v,0.0,hoa bằng lăng - phương phương thảo.mp3,OK,OK
Hoa Có Vàng Nơi Ấy,Phương Phương Thảo,,album,12.0,2025-01-23,"vietnamese bolero, vietnamese lo-fi, bolero, vinahouse, v-pop",6iQd9w83CPWhFXsfeNQxyt,5KGgAxYWMoCJduQhLpIH4v,0.0,hoa có vàng nơi ấy - phương phương thảo.mp3,OK,OK
Hoa Cúc Dại,Tóc Tiên,,single,10.0,2022-12-14,"v-pop, vietnam indie",2Gb5gGrZ07f9dYr50ywUax,4YkqEuVf1Jf2x2XDqJ2CvC,0.0,hoa cúc dại - tóc tiên.mp3,OK,OK
Hoa Cỏ Mùa Xuân,Dương Hoàng Yến,Đinh Mạnh Ninh,album,11.0,2021-12-24,"v-pop, vietnamese hip hop",5I9DUAGoGQOnIG2Y3mF7O3,3bbdXNYZbTMzxskrE4wIFQ,0.0,hoa cỏ mùa xuân - dương hoàng yến.mp3,OK,OK
Hoa Cỏ Mùa Xuân,Lê Hiếu,Juky San,album,14.0,2020,"v-pop, vietnamese hip hop, vietnam indie",2RP7vj1gruym2CZ9Fu42iH,4sOvsEM0ooH149joyEm7Wg,0.0,hoa cỏ mùa xuân - lê hiếu.mp3,OK,OK
Hoa Cỏ Mùa Xuân,Phương Phương Thảo,,album,11.0,2025-01-23,"vietnamese bolero, vietnamese lo-fi, bolero, vinahouse, v-pop",3KAZJXwfnfEnOaJQJ5kA44,5KGgAxYWMoCJduQhLpIH4v,0.0,hoa cỏ mùa xuân - phương phương thảo.mp3,OK,OK
Hoa Cỏ Mùa Xuân,Võ Hạ Trâm,Duy Tran,single,18.0,2023-12-14,"v-pop, vietnamese bolero",6oAlnSkuOLcyC46Z5ESNeu,7wqCcGabyuT6f1ZkRxI4ga,0.0,hoa cỏ mùa xuân - võ hạ trâm.mp3,OK,OK
Hoa Dưới Mặt Trời,Chi Pu,,single,24.0,2023-11-30,"v-pop, vinahouse, vietnam indie",3nmd6nqtMBzVmNJubiTVC2,6jRD85dsXJYn5vv73rqSGi,0.0,hoa dưới mặt trời - chi pu -.mp3,OK,OK
